Source,Target
1004,608
1018,712
1019,621
1021,400
1027,964
1028,85
1034,614
1036,907
1038,465
1048,1029
1050,1112
1051,154
1057,1120
1060,816
1063,964
1073,465
1074,832
1074,984
1079,932
1081,959
1086,913
1089,585
1089,1089
1096,651
1099,964
1102,577
1108,243
1109,465
1111,1077
1112,959
1113,293
1119,925
1124,585
1126,621
1126,308
1126,577
1126,808
1128,1154
1132,533
1133,712
1135,272
114,67
1141,312
1143,788
1144,1155
1151,1102
1151,1009
1151,523
1163,510
1165,530
1182,1306
119,133
1209,450
1214,1088
1215,724
1215,1102
1216,465
1217,1203
1219,913
1219,1086
1221,959
1221,641
1223,1168
1224,1058
1227,509
1228,1169
1229,1018
1229,1073
1231,959
124,139
1249,137
1251,1115
1257,772
1263,669
1264,964
1266,225
1283,879
1284,865
1284,1284
1288,765
1288,1000
1290,959
1292,142
1295,989
1302,142
1303,1303
1306,1182
1307,1158
1311,1311
1314,1314
1317,788
1317,585
1319,272
1326,1001
1328,1042
1332,879
1332,1283
1341,1211
1353,1036
1365,450
1372,1187
1378,984
1382,465
1384,981
1394,1201
1394,744
140,140
1408,1408
1409,1229
1413,1353
1416,1154
1429,938
1429,896
1457,656
1461,1461
147,17
1476,788
148,26
1482,894
1483,530
1484,1308
1504,879
1504,1283
1504,1332
1506,293
1506,397
1511,1289
1515,1605
1519,154
1537,906
1551,1121
1556,1025
1560,966
1567,361
1576,1133
1586,1362
1591,770
1591,1096
1594,1539
1596,1168
1599,1267
1607,887
1624,1270
1626,835
1629,1309
1631,1179
1631,1472
1636,1286
1638,776
1639,1115
1639,1179
1643,1564
1650,1535
1651,1376
1654,1520
1660,767
1660,1508
1662,1248
1665,1073
1666,1542
1672,1745
1675,1435
1681,1594
1681,1202
1682,1179
1683,1343
1685,1685
1688,416
1692,1307
1696,1416
1707,1574
1707,1466
1708,1328
1708,1597
1710,241
1711,1722
1713,1576
1716,1588
1721,1335
1722,1480
1722,1520
1733,1520
1735,1187
1740,1599
1748,1576
1750,835
1754,1667
1755,1755
1758,1477
1759,852
1770,1362
1785,993
1785,1180
1789,1773
1792,835
1801,428
1807,1253
1814,1893
1823,1896
1825,1694
1827,631
1827,1439
1831,569
1841,712
1843,962
1853,814
1853,1672
1853,1853
1860,1401
1860,835
1860,1262
1863,1179
1863,1115
1864,1610
1868,1735
1870,1844
1876,1457
1877,993
1877,1180
1882,1783
1885,1144
1888,1042
1890,1617
1892,1522
1893,1722
1894,1376
1895,154
1895,400
1895,530
1895,95
1905,1905
1922,1802
1922,1844
1924,1253
1933,361
1933,1609
1939,1885
1951,1520
1952,1376
1955,1599
1956,669
1960,621
1963,1963
1963,1771
1963,2051
1967,1928
1967,1733
1967,1896
1972,1776
1979,1376
1981,1888
1983,1420
1996,959
2008,1822
2016,1908
2024,925
2030,1683
2037,1687
2044,1520
2049,1674
2055,1745
2058,1755
2060,2001
2069,1807
2077,1247
2078,1561
2082,879
2087,1715
2087,1609
2095,792
2096,1645
2098,1729
2105,1844
2113,1419
2119,845
2123,1769
2128,1893
2131,1520
2132,1687
2132,1563
2133,1520
2133,2133
2135,2001
2136,1891
2143,1911
2144,1398
2146,2042
2157,1629
2163,1822
2164,2054
2165,879
2165,2082
2166,2279
2169,1779
2174,1167
2176,1907
2181,1629
2183,2092
2183,1896
2185,2090
2186,1976
2192,1981
2197,1729
2202,2300
2203,2058
2203,1672
2203,1131
2204,1420
2208,1465
2214,1503
2216,1520
2217,1830
2219,889
2219,2026
2219,1777
2220,2001
2220,1336
2224,1179
2227,1672
2236,1977
2236,2344
2238,1885
2239,2082
2242,2059
2249,2077
225,26
225,175
225,139
2250,1846
2257,1520
2261,656
2266,1797
2274,1563
2275,2042
2277,993
2278,2278
2280,2085
2281,841
2291,1846
2292,1520
2292,2092
2292,2215
2293,1685
2298,1797
2301,2301
2302,1144
2312,835
2312,2207
2318,2307
2319,2082
2320,2030
2330,2343
2332,1845
2339,2220
2344,466
2349,2181
2350,2055
2350,1579
2353,2266
2355,1985
2355,2109
2359,1961
2360,1610
2360,2164
2364,2198
2366,2164
2370,2370
2375,2190
2384,2030
2384,2320
2388,1992
2388,2092
2388,1830
2390,2171
2394,1461
2394,2207
2397,1577
2402,1180
2404,2001
2405,1520
2405,2405
2406,2223
2407,2135
2407,2001
2411,1643
2415,2331
2419,2220
2420,2116
2428,2092
2428,2215
2429,1907
243,114
2437,1490
2457,2223
2458,1716
2461,2141
2461,2092
2464,1967
2469,312
2471,1261
2472,466
2473,2207
2485,2319
2493,1398
2496,1967
2496,2092
250,133
250,119
2501,1853
2503,1984
2504,2199
2506,2092
2510,2141
2510,1332
2511,690
2512,1609
2512,1967
2516,1594
2518,2095
2526,2092
2531,2023
2531,2146
2531,2269
2538,2407
2538,2092
254,115
2540,2082
2548,2246
2550,1866
2562,2389
2564,2227
2564,1907
2568,1302
2572,1885
2574,1845
2577,2290
2584,1610
2585,2512
2585,2214
2589,2392
259,26
2590,2466
2591,2529
2595,2725
2601,2601
2601,2499
2604,1750
2604,1262
2604,835
2605,2240
2618,2428
2621,1018
2625,2364
2626,2092
2632,2199
2640,2092
2644,2357
2645,2095
2646,1253
2647,1967
2651,2068
2651,2164
2653,2352
2655,2377
2661,2407
2665,2183
2665,2092
2666,312
2670,2743
2671,2671
2680,2503
2690,1977
2695,2477
2698,1745
2702,1967
2704,2319
2705,2122
2708,1866
2710,2280
2719,1976
2726,1976
2729,1833
2733,2223
2738,2092
2740,2199
2741,1467
2743,2670
2752,2246
2757,2078
2757,2757
2761,2570
2767,2826
2768,767
2775,2385
2776,2674
2776,2178
2776,2177
2779,2839
2783,1594
2783,2287
2787,1869
2794,2607
28,28
2804,2023
2804,2240
2804,2146
2805,1128
2806,2385
2809,1845
2809,2711
2811,2679
2812,1489
2813,2635
2814,2538
2819,2529
2819,2591
2827,2569
2828,2550
2831,2831
2833,2679
2836,2030
2836,2320
2838,2735
2838,2576
2838,656
2842,2219
2849,2320
2857,1579
2866,2019
2870,1830
2870,2092
2875,1531
2878,2661
2880,2202
2880,2428
2881,2272
2882,845
2882,2882
2896,2199
2896,2896
2901,835
2906,2519
2906,2587
2908,1672
2912,2570
2912,2643
2918,1560
2921,2352
2926,2478
2927,2268
2933,1672
2933,2564
2934,2223
2934,5
2940,1795
2942,1896
2943,2636
2945,2290
2945,2577
2947,2092
2948,2718
2949,2646
2949,1128
2952,2092
2961,2943
2961,2961
2968,1447
2968,887
297,416
2971,2645
2972,2920
2978,1520
298,114
2980,2072
2983,2698
2985,2030
2985,2320
2986,2889
2987,2187
2988,2648
2991,509
2992,1577
2993,1520
3004,2046
3005,2881
3007,1076
3012,3012
3015,1961
3015,2290
3015,2577
3024,767
3024,2652
3025,1745
3025,1490
3029,2652
3033,2882
3035,2647
3035,3035
3035,1584
3035,656
3036,2587
3039,2540
3040,2892
3042,2797
3042,1750
3044,2835
3044,2550
3047,1959
3050,1997
3050,2937
3052,2730
3059,2763
3065,2240
3069,2092
3069,1961
3069,2942
3069,1896
3069,2183
3072,2952
3072,2092
3073,1490
3074,1699
3078,1886
3086,2806
3087,2951
3089,2460
3097,2435
3100,2759
3107,3082
3107,3107
3115,2092
3117,2601
3118,1672
3123,1783
3124,1959
3126,2947
3130,1878
3136,2882
3136,2077
3137,2371
3147,2882
3147,2882
3148,2092
3148,1967
3148,2759
3150,2608
3151,2827
3151,2569
3157,2320
3157,2384
3167,2740
3167,2613
3168,3070
3170,2199
3179,1109
318,430
3180,3066
3182,1577
3182,2550
3183,2764
3184,2030
3185,3185
3187,2774
3189,2998
3191,2577
3191,2290
3195,2945
3199,1109
3201,3004
3203,2998
3204,2937
3205,3055
3205,2530
3205,1852
3205,2246
3208,2377
3208,2672
3209,2729
3210,2794
3211,2605
3211,2133
3211,2672
3212,2983
3218,616
3218,656
3223,2092
3225,2980
3226,3078
3227,1674
3233,2990
3236,2030
3236,3134
3237,3042
3237,1668
3241,2141
3241,1961
3241,2577
3241,2818
3242,835
3244,2900
3248,3158
325,149
3250,2319
3250,2192
3256,1461
3256,2237
3260,2040
3260,2578
3264,2830
3264,2567
3265,984
3265,2353
3269,2092
3270,2971
3271,2019
3281,2519
3284,3294
3286,3044
3286,3043
3288,1745
3295,2059
3306,3082
3308,2407
3309,2882
3310,2377
3310,2975
3311,1531
3313,3048
3314,656
3314,3314
3325,2943
3327,1945
3327,2758
3330,2698
3335,3340
3340,3201
3341,2924
3344,2554
3345,2040
3346,1444
3347,3347
3350,2213
3351,2240
3351,1532
3351,2903
3357,2666
3358,2623
3363,3048
3383,1961
3387,3158
3387,3075
3387,3248
3390,3046
3393,2350
3393,2768
3395,2768
3395,2862
3396,3340
3398,2377
3399,2042
3399,2652
340,74
3400,3510
3401,3052
3405,2648
3405,3268
3412,2092
3414,3497
3415,1316
3417,2351
3420,2865
3425,2336
3426,3266
3429,2140
3430,3146
3432,3194
3434,2784
3440,2092
3440,3307
3444,2740
3446,3126
3446,2947
3450,3327
3450,3268
3452,2634
3455,2994
3457,3484
3458,2807
346,346
3460,3014
3466,1891
3468,3141
3468,3369
3477,261
3477,2916
3478,2092
3478,2428
3478,3478
3478,3181
3485,1610
3488,2199
3493,2509
3496,3000
3500,1115
3501,1109
3505,3133
3506,3042
3506,2797
3506,2352
3506,3363
3506,3048
3507,2836
3507,2985
3514,2775
3515,2595
3516,3301
3516,2548
3517,3258
3517,1284
3518,2882
3521,1750
3521,3042
3524,3330
3525,1940
3532,1561
3533,2587
3539,3166
3541,3048
3542,2540
3542,3307
3546,1892
3549,2938
3550,2920
3551,2831
3553,2857
3555,2582
3556,3335
3557,3197
3558,3372
3560,3560
3565,2652
3567,3279
3567,3078
3567,2672
3568,3164
3569,3569
3572,2980
3572,1577
3574,3128
3574,3030
3576,3040
3585,2806
3592,3340
3592,2092
3593,3185
3602,3126
3605,2634
3606,2559
3609,2460
3611,2164
3613,3354
3615,1845
3617,1520
3620,3268
3621,2882
3621,3147
3626,2767
3626,2826
3627,2882
3630,3101
3633,3005
3638,2882
3638,2941
3639,3639
3640,2213
3641,1272
3641,2591
3642,3521
3642,3530
3642,1750
3645,1866
3652,2989
3652,3376
3652,2942
3653,1795
3654,2652
3658,2947
3658,3611
3659,3332
3660,2855
3661,1790
3662,3025
3662,3435
3662,3532
3664,3520
3665,2643
3669,2882
3669,3147
3671,2030
3673,2970
3673,2244
3675,3520
3676,3321
3676,3623
3679,1685
3680,2447
3681,2884
3682,3274
3682,2001
3682,3590
3683,3411
3685,2530
3685,2882
3685,3033
3685,3078
3689,3323
3691,3392
3695,2559
3696,3586
3698,3510
3698,3182
3705,2947
3705,3446
3706,3432
3707,3707
3707,3085
3709,3307
3710,3046
3710,3337
3712,3712
3713,3306
3713,3082
3713,3713
3714,3128
3717,3162
3718,3254
3719,3569
3719,3569
3721,2636
3723,3145
3727,3175
3728,3078
3728,2721
3728,2443
3737,2882
3738,3340
3738,3335
3739,1967
3740,1461
3742,2971
3742,3454
3742,3446
3749,3182
3750,3340
3752,3475
3752,2092
3754,2632
3754,2199
3758,3270
3761,3761
3766,2520
3768,3200
3769,3539
3774,2152
3774,1750
3775,3183
3775,3544
3775,3175
3778,3276
3778,2718
3779,2220
3781,3178
3787,2385
3788,3524
3790,3363
3791,1961
3797,2591
3797,3417
3800,3502
3800,3402
3806,3346
3808,2652
3809,1018
3809,465
3815,2648
3816,3332
3824,3586
3827,2780
3829,2407
3830,1520
3832,1073
3835,1616
3836,1992
3839,3593
3840,1622
3843,3376
3843,2759
3845,1789
3846,2882
3847,2947
3850,2510
3853,2882
3853,3147
3854,2587
3855,2447
3860,3389
3862,3544
3866,3372
3868,3363
3868,3112
3870,3519
3871,3569
3872,3536
3873,3012
3874,2709
3874,3182
3874,3541
3876,3553
3877,2723
3881,2042
3884,2666
3888,3323
3888,3888
3891,3100
3894,3510
3894,3693
3895,3313
3899,3185
3900,3535
3901,2728
3902,3330
3902,3788
3904,3763
3907,3269
3909,3756
3910,2807
3912,3421
3913,2352
3913,2042
3924,1490
3925,2648
3926,3193
3927,3053
3929,3875
3931,2728
3932,1964
3933,3762
3933,3681
3941,1959
3944,3836
3946,3101
3947,3532
3947,1398
3948,2807
3951,3129
3954,3880
3954,3692
3956,3185
3956,1380
3957,2092
3957,1961
3959,3113
3964,1073
3967,2776
3967,3593
3968,3715
3972,3371
3972,3107
3973,3182
3977,3178
3981,1622
3981,3786
3985,3692
3986,3319
3986,3454
3988,3664
3991,2636
3991,2943
3991,3818
3992,3780
3997,3042
3999,2961
4001,2140
4003,3790
4006,3888
4006,3881
4009,3212
4009,2983
4011,3479
4014,2961
4015,3586
4015,3697
4018,1594
4020,1863
4023,3119
4024,3591
4025,2378
4026,1577
4026,3060
4027,1961
4027,2092
4027,1773
4027,3597
4030,3435
4040,3126
4040,1520
4040,3417
4047,2670
4047,767
4049,2882
4049,2772
4058,1309
4061,3048
4064,3212
4064,3633
4065,3530
4065,1750
4073,2636
4074,3644
4081,841
4082,1745
4083,1124
4085,3129
4089,2949
4090,3557
4093,835
4095,2998
4095,2774
4102,3763
4103,2943
4105,3680
4105,3715
4105,3598
4106,2092
411,293
4110,2780
4116,2755
4116,3107
4119,2980
4122,2540
4122,2942
4128,3856
4131,3880
4132,3312
4132,1668
4136,3790
4136,3872
4138,1750
4139,3849
4140,3268
4143,984
4145,3481
4145,3586
4147,3874
4147,3541
4148,3472
4149,3655
4150,3664
4150,3372
4151,3630
4151,1745
4154,2092
4154,3813
4158,3715
4158,3968
4159,3044
4159,2947
4159,3307
416,416
4167,2412
4167,3782
4168,3750
4170,3274
4170,3046
4177,3520
4177,3880
4178,2831
4179,3553
4180,3253
4182,2322
4183,3953
4183,3667
4184,3745
4184,3673
4186,3307
4186,3709
4187,1726
4189,4120
419,195
419,419
4194,3212
4194,3913
4196,4196
4196,2780
4199,1152
4201,3162
4202,3438
4203,3303
4209,3916
4210,3375
4213,4027
4213,2164
4219,2898
4228,3182
4230,3294
4231,3697
4236,2758
4238,3411
4239,3673
4239,3920
4241,3996
4242,1964
4242,3673
4242,4095
4243,1531
4246,1961
4246,2577
4246,2033
4246,2092
4247,3882
425,212
4250,3953
4250,3126
4250,2947
4250,3935
4250,3847
4251,3233
4251,1531
4254,4156
4254,3750
4255,2882
4258,3584
4260,3335
4263,2882
4265,3784
4271,4020
4271,3997
4274,3523
4274,1911
4275,3661
4277,3586
4278,3340
4279,2178
4281,4095
4282,4282
4285,2206
4285,3337
4287,3145
4290,3586
4291,3854
4293,3997
4293,1533
4295,2287
4296,4140
4298,3233
4300,4083
4302,3079
4304,2634
4305,3553
4307,4105
4307,3451
431,259
4311,2882
4311,4074
4312,1034
4313,3599
4314,3802
4315,3841
4315,3841
4316,3882
4317,2207
4319,3749
4323,154
4329,1452
4329,6225
4330,2540
4330,3078
4331,4132
4331,3313
4332,3371
4332,2634
4334,3313
4334,3048
4336,3875
4340,1773
4340,4033
4343,1963
4343,3374
4344,4063
4346,4132
4347,3150
4350,3313
4350,3583
4350,3363
4350,3078
4351,3717
4351,2672
4352,1892
4352,2082
4365,2882
4365,3947
4365,2055
4367,3634
4368,964
4368,2721
4372,3782
4375,4375
4383,3256
4383,3078
4396,3644
4396,4074
4399,3954
4399,2947
4399,4159
440,328
4400,2306
4401,3902
4401,2178
4403,2980
4403,4119
4404,1338
4406,3162
4408,3667
4409,2647
4409,2914
4409,3048
4409,3790
4409,3958
4410,4114
4411,2207
4411,1853
4411,2294
4411,3372
4413,4125
4414,3340
4417,3605
4418,3286
4418,3633
4418,3997
4418,4125
4418,2352
4419,3932
4419,2474
4426,1115
4426,4065
4426,1750
443,328
4431,3662
4432,3882
4433,2578
4433,4009
4433,3935
4440,3526
4441,3875
4442,3529
4443,3674
4444,3321
4444,3623
4445,3569
4446,4123
4446,2755
4447,3749
4455,3769
4455,4455
4457,3188
4457,3836
4459,3931
4459,4137
4460,2904
4460,4045
4463,3518
4465,3569
4466,3923
4467,4136
4467,3313
4469,4074
4469,3644
4471,3299
4473,3874
4474,3363
4474,1886
4475,2634
4477,2485
4478,841
4479,3293
4479,4160
4484,3925
4485,4180
4485,4181
4487,3371
4487,3605
4489,4130
4489,2912
4490,2042
4490,4074
4490,3644
4491,4036
4492,1808
4492,4323
4495,841
4497,3997
4497,4467
4498,3866
4501,3916
4501,4095
4504,3181
4506,4395
4506,4463
4507,4335
4510,3556
4511,4067
4512,3949
4512,4329
4512,2564
4512,3947
4516,3164
4516,4293
4526,3048
4530,4291
4534,3662
4534,2882
